year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,0.283,0.175,0.542
1995,0.330,0.170,0.500
1996,0.352,0.176,0.472
1997,0.396,0.126,0.477
1998,0.294,0.118,0.588
1999,0.234,0.234,0.532
2000,0.192,0.233,0.575
2001,0.260,0.164,0.575
2002,0.288,0.205,0.507
2003,0.306,0.167,0.528
2004,0.493,0.173,0.333
2005,0.449,0.163,0.388
2006,0.442,0.109,0.449
2007,0.536,0.102,0.361
2008,0.439,0.171,0.390
2009,0.417,0.116,0.468
2010,0.395,0.186,0.419
2011,0.426,0.136,0.438
2012,0.377,0.179,0.443
