year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,0.837,0.070,0.093
1992,0.750,0.071,0.179
1993,0.639,0.131,0.230
1994,0.742,0.076,0.182
1995,0.521,0.254,0.225
1996,0.511,0.189,0.300
1997,0.593,0.140,0.267
1998,0.534,0.239,0.227
1999,0.477,0.140,0.384
2000,0.533,0.178,0.289
2001,0.600,0.170,0.230
2002,0.598,0.108,0.294
2003,0.467,0.186,0.347
2004,0.453,0.169,0.378
2005,0.430,0.187,0.383
2006,0.492,0.152,0.357
2007,0.378,0.234,0.388
2008,0.414,0.213,0.372
2009,0.379,0.220,0.401
2010,0.371,0.174,0.455
2011,0.362,0.223,0.415
2012,0.337,0.230,0.433
