year,new_fraction,chaperoned_fraction,established_fraction
1990,0.300,0.095,0.605
1991,0.310,0.154,0.536
1992,0.285,0.116,0.599
1993,0.337,0.154,0.509
1994,0.281,0.120,0.599
1995,0.272,0.132,0.597
1996,0.289,0.131,0.581
1997,0.267,0.152,0.581
1998,0.305,0.130,0.565
1999,0.306,0.135,0.559
2000,0.317,0.153,0.529
2001,0.277,0.107,0.616
2002,0.302,0.146,0.552
2003,0.281,0.136,0.583
2004,0.329,0.147,0.524
2005,0.268,0.134,0.597
2006,0.355,0.145,0.500
2007,0.316,0.135,0.549
2008,0.285,0.144,0.571
2009,0.276,0.158,0.566
2010,0.258,0.146,0.596
2011,0.256,0.140,0.604
2012,0.272,0.177,0.551
