year,new_fraction,chaperoned_fraction,established_fraction
1990,0.659,0.115,0.225
1991,0.734,0.094,0.172
1992,0.670,0.131,0.199
1993,0.535,0.153,0.312
1994,0.691,0.127,0.182
1995,0.589,0.125,0.286
1996,0.549,0.186,0.265
1997,0.616,0.147,0.237
1998,0.473,0.182,0.345
1999,0.557,0.165,0.278
2000,0.518,0.223,0.259
2001,0.443,0.200,0.357
2002,0.518,0.176,0.306
2003,0.588,0.133,0.279
2004,0.466,0.193,0.341
2005,0.452,0.202,0.346
2006,0.404,0.264,0.331
2007,0.511,0.180,0.309
2008,0.482,0.165,0.354
2009,0.417,0.196,0.387
2010,0.429,0.190,0.380
2011,0.349,0.177,0.474
2012,0.441,0.165,0.394
