year,new_fraction,chaperoned_fraction,established_fraction
1990,0.398,0.246,0.356
1991,0.311,0.238,0.450
1992,0.335,0.203,0.463
1993,0.323,0.256,0.421
1994,0.303,0.308,0.388
1995,0.298,0.227,0.476
1996,0.314,0.262,0.424
1997,0.310,0.258,0.433
1998,0.297,0.249,0.455
1999,0.281,0.266,0.454
2000,0.272,0.263,0.466
2001,0.312,0.243,0.445
2002,0.298,0.255,0.447
2003,0.295,0.234,0.471
2004,0.274,0.289,0.437
2005,0.266,0.274,0.459
2006,0.246,0.292,0.462
2007,0.275,0.250,0.475
2008,0.238,0.256,0.507
2009,0.184,0.269,0.547
2010,0.218,0.272,0.511
2011,0.244,0.265,0.492
2012,0.242,0.242,0.515
