year,new_fraction,chaperoned_fraction,established_fraction
1990,0.596,0.121,0.283
1991,0.562,0.138,0.300
1992,0.559,0.108,0.333
1993,0.500,0.170,0.330
1994,0.588,0.165,0.247
1995,0.586,0.162,0.253
1996,0.624,0.085,0.291
1997,0.628,0.131,0.241
1998,0.500,0.183,0.317
1999,0.579,0.149,0.272
2000,0.632,0.112,0.257
2001,0.576,0.174,0.250
2002,0.463,0.187,0.350
2003,0.492,0.125,0.383
2004,0.605,0.122,0.272
2005,0.510,0.181,0.309
2006,0.506,0.232,0.262
2007,0.516,0.153,0.332
2008,0.544,0.189,0.267
2009,0.426,0.230,0.345
2010,0.472,0.213,0.315
2011,0.520,0.158,0.322
2012,0.494,0.210,0.295
