year,new_fraction,chaperoned_fraction,established_fraction
1990,0.661,0.101,0.239
1991,0.575,0.103,0.322
1992,0.615,0.090,0.295
1993,0.448,0.162,0.390
1994,0.492,0.099,0.409
1995,0.420,0.168,0.413
1996,0.406,0.123,0.471
1997,0.328,0.135,0.536
1998,0.362,0.129,0.510
1999,0.350,0.102,0.549
2000,0.347,0.144,0.509
2001,0.349,0.146,0.506
2002,0.379,0.099,0.522
2003,0.338,0.135,0.526
2004,0.321,0.118,0.561
2005,0.293,0.157,0.550
2006,0.242,0.125,0.633
2007,0.229,0.139,0.632
2008,0.264,0.132,0.605
2009,0.289,0.162,0.549
2010,0.251,0.161,0.588
2011,0.230,0.163,0.607
2012,0.223,0.132,0.645
