year,new_fraction,chaperoned_fraction,established_fraction
1990,0.778,0.079,0.143
1991,0.524,0.143,0.333
1992,0.603,0.137,0.260
1993,0.615,0.188,0.198
1994,0.604,0.149,0.248
1995,0.693,0.102,0.205
1996,0.619,0.173,0.209
1997,0.563,0.230,0.206
1998,0.550,0.139,0.311
1999,0.631,0.121,0.248
2000,0.581,0.123,0.297
2001,0.506,0.186,0.308
2002,0.562,0.154,0.284
2003,0.491,0.137,0.371
2004,0.516,0.112,0.372
2005,0.410,0.163,0.427
2006,0.497,0.104,0.399
2007,0.478,0.181,0.341
2008,0.410,0.169,0.421
2009,0.477,0.148,0.375
2010,0.529,0.161,0.310
2011,0.431,0.232,0.337
2012,0.350,0.188,0.462
