year,new_fraction,chaperoned_fraction,established_fraction
1990,0.266,0.203,0.532
1991,0.229,0.213,0.558
1992,0.243,0.228,0.529
1993,0.213,0.227,0.560
1994,0.272,0.203,0.525
1995,0.237,0.201,0.562
1996,0.192,0.235,0.573
1997,0.178,0.174,0.648
1998,0.227,0.209,0.564
1999,0.223,0.202,0.576
2000,0.183,0.204,0.614
2001,0.183,0.242,0.575
2002,0.175,0.230,0.595
2003,0.212,0.215,0.574
2004,0.212,0.262,0.526
2005,0.186,0.229,0.585
2006,0.201,0.212,0.586
2007,0.181,0.226,0.594
2008,0.244,0.229,0.526
2009,0.195,0.207,0.598
2010,0.182,0.248,0.570
2011,0.239,0.221,0.541
2012,0.237,0.209,0.554
