year,new_fraction,chaperoned_fraction,established_fraction
1990,0.294,0.167,0.539
1991,0.263,0.125,0.613
1992,0.326,0.194,0.479
1993,0.204,0.159,0.637
1994,0.307,0.169,0.525
1995,0.257,0.158,0.586
1996,0.289,0.156,0.555
1997,0.315,0.144,0.541
1998,0.273,0.158,0.568
1999,0.275,0.207,0.518
2000,0.299,0.150,0.551
2001,0.244,0.155,0.601
2002,0.193,0.166,0.641
2003,0.267,0.179,0.553
2004,0.233,0.179,0.588
2005,0.241,0.151,0.608
2006,0.268,0.196,0.536
2007,0.246,0.154,0.601
2008,0.256,0.181,0.562
2009,0.246,0.171,0.583
2010,0.217,0.162,0.621
2011,0.270,0.168,0.562
2012,0.278,0.157,0.565
