year,new_fraction,chaperoned_fraction,established_fraction
1990,0.146,0.167,0.687
1991,0.150,0.147,0.704
1992,0.146,0.162,0.693
1993,0.123,0.167,0.710
1994,0.136,0.189,0.676
1995,0.128,0.172,0.700
1996,0.120,0.182,0.698
1997,0.126,0.180,0.694
1998,0.142,0.170,0.688
1999,0.125,0.178,0.697
2000,0.118,0.168,0.714
2001,0.109,0.168,0.723
2002,0.109,0.189,0.702
2003,0.105,0.193,0.702
2004,0.103,0.176,0.721
2005,0.100,0.187,0.713
2006,0.101,0.194,0.706
2007,0.107,0.194,0.700
2008,0.110,0.175,0.715
2009,0.089,0.196,0.715
2010,0.107,0.189,0.705
2011,0.077,0.174,0.748
2012,0.088,0.179,0.733
