year,new_fraction,chaperoned_fraction,established_fraction
1990,0.822,0.059,0.119
1991,0.638,0.140,0.222
1992,0.675,0.136,0.188
1993,0.591,0.116,0.293
1994,0.564,0.160,0.276
1995,0.589,0.128,0.284
1996,0.573,0.145,0.282
1997,0.576,0.188,0.235
1998,0.571,0.173,0.256
1999,0.513,0.241,0.247
2000,0.371,0.102,0.527
2001,0.429,0.151,0.421
2002,0.493,0.136,0.371
2003,0.547,0.135,0.318
2004,0.405,0.196,0.399
2005,0.486,0.141,0.373
2006,0.561,0.136,0.303
2007,0.549,0.148,0.303
2008,0.525,0.156,0.320
2009,0.538,0.154,0.308
2010,0.566,0.150,0.283
2011,0.508,0.203,0.288
2012,0.463,0.132,0.405
