year,new_fraction,chaperoned_fraction,established_fraction
1990,0.329,0.125,0.546
1991,0.297,0.132,0.570
1992,0.252,0.158,0.590
1993,0.220,0.183,0.598
1994,0.277,0.165,0.558
1995,0.197,0.162,0.640
1996,0.293,0.153,0.554
1997,0.260,0.134,0.607
1998,0.255,0.188,0.557
1999,0.252,0.191,0.557
2000,0.226,0.152,0.622
2001,0.239,0.187,0.574
2002,0.232,0.174,0.594
2003,0.242,0.164,0.594
2004,0.285,0.161,0.554
2005,0.218,0.172,0.610
2006,0.199,0.150,0.651
2007,0.228,0.193,0.579
2008,0.298,0.165,0.538
2009,0.193,0.168,0.639
2010,0.254,0.166,0.580
2011,0.223,0.191,0.586
2012,0.220,0.194,0.587
