year,new_fraction,chaperoned_fraction,established_fraction
1990,0.610,0.057,0.333
1991,0.616,0.085,0.299
1992,0.571,0.203,0.226
1993,0.629,0.099,0.272
1994,0.497,0.161,0.342
1995,0.571,0.150,0.279
1996,0.603,0.176,0.221
1997,0.554,0.131,0.315
1998,0.558,0.171,0.271
1999,0.597,0.101,0.302
2000,0.514,0.138,0.348
2001,0.438,0.169,0.392
2002,0.633,0.089,0.278
2003,0.550,0.148,0.302
2004,0.471,0.200,0.329
2005,0.438,0.178,0.384
2006,0.448,0.178,0.374
2007,0.500,0.224,0.276
2008,0.442,0.178,0.380
2009,0.494,0.165,0.341
2010,0.522,0.132,0.346
2011,0.441,0.223,0.336
2012,0.451,0.145,0.404
