year,new_fraction,chaperoned_fraction,established_fraction
1990,0.525,0.115,0.360
1991,0.424,0.176,0.400
1992,0.452,0.140,0.408
1993,0.458,0.104,0.438
1994,0.397,0.198,0.405
1995,0.480,0.179,0.341
1996,0.466,0.162,0.372
1997,0.420,0.196,0.384
1998,0.436,0.196,0.368
1999,0.431,0.173,0.396
2000,0.421,0.228,0.351
2001,0.450,0.153,0.397
2002,0.336,0.228,0.436
2003,0.428,0.114,0.458
2004,0.374,0.196,0.430
2005,0.453,0.205,0.342
2006,0.390,0.170,0.440
2007,0.383,0.171,0.446
2008,0.371,0.163,0.466
2009,0.403,0.122,0.475
2010,0.310,0.193,0.497
2011,0.338,0.194,0.468
2012,0.324,0.175,0.502
