year,new_fraction,chaperoned_fraction,established_fraction
1990,0.248,0.203,0.549
1991,0.278,0.184,0.538
1992,0.256,0.192,0.552
1993,0.237,0.229,0.534
1994,0.255,0.201,0.544
1995,0.239,0.182,0.579
1996,0.215,0.199,0.585
1997,0.211,0.200,0.589
1998,0.214,0.204,0.582
1999,0.255,0.190,0.555
2000,0.220,0.201,0.579
2001,0.228,0.203,0.569
2002,0.215,0.235,0.550
2003,0.191,0.247,0.562
2004,0.221,0.233,0.546
2005,0.204,0.198,0.598
2006,0.210,0.214,0.577
2007,0.184,0.223,0.594
2008,0.192,0.198,0.610
2009,0.185,0.260,0.555
2010,0.202,0.220,0.578
2011,0.206,0.252,0.542
2012,0.171,0.245,0.584
