year,new_fraction,chaperoned_fraction,established_fraction
1990,0.586,0.077,0.337
1991,0.534,0.142,0.324
1992,0.580,0.122,0.298
1993,0.489,0.133,0.378
1994,0.466,0.108,0.426
1995,0.494,0.145,0.361
1996,0.492,0.160,0.349
1997,0.459,0.167,0.374
1998,0.497,0.121,0.383
1999,0.392,0.161,0.447
2000,0.398,0.196,0.407
2001,0.478,0.162,0.360
2002,0.424,0.153,0.424
2003,0.427,0.184,0.389
2004,0.420,0.147,0.433
2005,0.381,0.191,0.428
2006,0.330,0.213,0.457
2007,0.408,0.149,0.444
2008,0.364,0.171,0.465
2009,0.344,0.197,0.460
2010,0.350,0.177,0.473
2011,0.374,0.205,0.421
2012,0.412,0.156,0.432
