year,new_fraction,chaperoned_fraction,established_fraction
1990,0.544,0.063,0.392
1991,0.618,0.066,0.316
1992,0.600,0.078,0.322
1993,0.561,0.140,0.298
1994,0.619,0.115,0.265
1995,0.627,0.068,0.305
1996,0.542,0.140,0.318
1997,0.598,0.103,0.299
1998,0.635,0.118,0.247
1999,0.734,0.078,0.188
2000,0.535,0.183,0.282
2001,0.647,0.147,0.206
2002,0.718,0.115,0.167
2003,0.681,0.101,0.218
2004,0.696,0.071,0.234
2005,0.723,0.073,0.204
2006,0.728,0.111,0.161
2007,0.671,0.143,0.186
2008,0.687,0.128,0.184
2009,0.640,0.149,0.211
2010,0.586,0.179,0.236
2011,0.597,0.126,0.277
2012,0.615,0.205,0.179
