year,new_fraction,chaperoned_fraction,established_fraction
1990,0.634,0.068,0.298
1991,0.615,0.077,0.308
1992,0.594,0.077,0.329
1993,0.586,0.059,0.355
1994,0.630,0.069,0.301
1995,0.662,0.064,0.274
1996,0.637,0.063,0.300
1997,0.651,0.075,0.275
1998,0.608,0.105,0.287
1999,0.638,0.083,0.279
2000,0.586,0.089,0.325
2001,0.607,0.099,0.294
2002,0.625,0.116,0.258
2003,0.619,0.083,0.298
2004,0.581,0.101,0.318
2005,0.611,0.072,0.317
2006,0.572,0.075,0.353
2007,0.584,0.045,0.371
2008,0.448,0.124,0.429
2009,0.492,0.100,0.408
2010,0.545,0.121,0.333
2011,0.597,0.104,0.299
2012,0.446,0.185,0.369
