year,new_fraction,chaperoned_fraction,established_fraction
1990,0.301,0.188,0.511
1991,0.356,0.104,0.541
1992,0.278,0.118,0.604
1993,0.261,0.124,0.614
1994,0.262,0.149,0.589
1995,0.301,0.181,0.518
1996,0.311,0.179,0.511
1997,0.286,0.126,0.589
1998,0.370,0.133,0.497
1999,0.385,0.099,0.516
2000,0.429,0.133,0.439
2001,0.389,0.172,0.439
2002,0.466,0.085,0.449
2003,0.440,0.137,0.423
2004,0.462,0.123,0.415
2005,0.472,0.136,0.392
2006,0.547,0.100,0.353
2007,0.494,0.140,0.366
2008,0.463,0.130,0.407
2009,0.488,0.140,0.372
2010,0.467,0.148,0.385
2011,0.446,0.099,0.455
2012,0.421,0.140,0.438
