year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.925,0.030,0.045
1996,0.859,0.064,0.077
1997,0.761,0.080,0.159
1998,0.750,0.125,0.125
1999,0.724,0.101,0.175
2000,0.653,0.126,0.221
2001,0.697,0.109,0.194
2002,0.636,0.125,0.239
2003,0.617,0.140,0.244
2004,0.513,0.196,0.291
2005,0.579,0.164,0.257
2006,0.555,0.159,0.287
2007,0.549,0.216,0.235
2008,0.500,0.193,0.307
2009,0.509,0.248,0.242
2010,0.608,0.146,0.247
2011,0.522,0.156,0.323
2012,0.462,0.211,0.327
