year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,0.667,0.167,0.167
1995,0.562,0.125,0.312
1996,0.481,0.177,0.342
1997,0.519,0.173,0.309
1998,0.500,0.114,0.386
1999,0.296,0.184,0.520
2000,0.259,0.170,0.571
2001,0.314,0.152,0.533
2002,0.385,0.168,0.448
2003,0.369,0.106,0.525
2004,0.426,0.105,0.469
2005,0.631,0.083,0.286
2006,0.558,0.133,0.308
2007,0.523,0.099,0.378
2008,0.565,0.139,0.296
2009,0.540,0.123,0.336
2010,0.494,0.148,0.358
2011,0.488,0.136,0.376
2012,0.427,0.180,0.393
