year,new_fraction,chaperoned_fraction,established_fraction
1990,0.410,0.170,0.420
1991,0.377,0.188,0.435
1992,0.397,0.209,0.395
1993,0.350,0.167,0.483
1994,0.350,0.189,0.462
1995,0.368,0.183,0.448
1996,0.356,0.215,0.430
1997,0.326,0.219,0.455
1998,0.302,0.197,0.501
1999,0.283,0.211,0.506
2000,0.281,0.193,0.526
2001,0.256,0.216,0.528
2002,0.243,0.220,0.537
2003,0.221,0.205,0.574
2004,0.219,0.224,0.558
2005,0.235,0.206,0.559
2006,0.236,0.195,0.569
2007,0.191,0.214,0.595
2008,0.187,0.195,0.617
2009,0.186,0.177,0.636
2010,0.219,0.187,0.594
2011,0.205,0.228,0.567
2012,0.186,0.252,0.562
