year,new_fraction,chaperoned_fraction,established_fraction
1990,0.755,0.102,0.143
1991,0.681,0.085,0.234
1992,0.688,0.042,0.271
1993,0.471,0.206,0.324
1994,0.619,0.048,0.333
1995,0.541,0.131,0.328
1996,0.509,0.172,0.319
1997,0.433,0.189,0.378
1998,0.417,0.208,0.375
1999,0.476,0.179,0.345
2000,0.451,0.153,0.396
2001,0.394,0.223,0.383
2002,0.439,0.168,0.393
2003,0.438,0.154,0.408
2004,0.387,0.181,0.432
2005,0.391,0.153,0.455
2006,0.359,0.156,0.486
2007,0.375,0.206,0.419
2008,0.345,0.202,0.453
2009,0.317,0.179,0.504
2010,0.336,0.215,0.448
2011,0.369,0.167,0.464
2012,0.320,0.202,0.478
