year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,1.000,0.000,0.000
1992,0.974,0.026,0.000
1993,0.618,0.176,0.206
1994,0.416,0.221,0.364
1995,0.415,0.108,0.477
1996,0.455,0.121,0.424
1997,0.515,0.129,0.356
1998,0.417,0.139,0.444
1999,0.345,0.145,0.509
2000,0.418,0.131,0.451
2001,0.386,0.152,0.462
2002,0.388,0.144,0.468
2003,0.459,0.133,0.409
2004,0.331,0.200,0.469
2005,0.392,0.152,0.456
2006,0.361,0.144,0.495
2007,0.368,0.226,0.405
2008,0.312,0.146,0.542
2009,0.298,0.180,0.522
2010,0.320,0.182,0.498
2011,0.339,0.162,0.498
2012,0.326,0.155,0.520
