year,new_fraction,chaperoned_fraction,established_fraction
1990,0.470,0.166,0.364
1991,0.426,0.154,0.420
1992,0.474,0.124,0.402
1993,0.409,0.152,0.439
1994,0.438,0.135,0.427
1995,0.422,0.133,0.444
1996,0.444,0.159,0.397
1997,0.411,0.142,0.447
1998,0.441,0.112,0.447
1999,0.341,0.114,0.546
2000,0.386,0.131,0.483
2001,0.381,0.124,0.495
2002,0.336,0.132,0.532
2003,0.389,0.153,0.458
2004,0.370,0.150,0.480
2005,0.344,0.153,0.503
2006,0.366,0.163,0.471
2007,0.314,0.170,0.515
2008,0.298,0.161,0.541
2009,0.304,0.143,0.553
2010,0.299,0.211,0.490
2011,0.327,0.148,0.525
2012,0.270,0.203,0.527
