year,new_fraction,chaperoned_fraction,established_fraction
1990,0.456,0.068,0.476
1991,0.382,0.164,0.455
1992,0.431,0.127,0.441
1993,0.402,0.161,0.438
1994,0.437,0.160,0.403
1995,0.400,0.154,0.446
1996,0.405,0.191,0.405
1997,0.415,0.131,0.454
1998,0.349,0.161,0.490
1999,0.384,0.104,0.512
2000,0.362,0.110,0.528
2001,0.351,0.157,0.493
2002,0.383,0.105,0.511
2003,0.449,0.163,0.388
2004,0.409,0.214,0.377
2005,0.447,0.132,0.421
2006,0.430,0.232,0.338
2007,0.446,0.217,0.337
2008,0.378,0.211,0.411
2009,0.515,0.195,0.290
2010,0.425,0.206,0.369
2011,0.422,0.152,0.426
2012,0.448,0.172,0.380
