year,new_fraction,chaperoned_fraction,established_fraction
1990,0.361,0.193,0.447
1991,0.355,0.203,0.442
1992,0.317,0.214,0.468
1993,0.366,0.153,0.481
1994,0.430,0.160,0.410
1995,0.385,0.179,0.436
1996,0.341,0.212,0.447
1997,0.333,0.227,0.439
1998,0.413,0.144,0.443
1999,0.361,0.165,0.474
2000,0.308,0.239,0.453
2001,0.350,0.205,0.445
2002,0.366,0.187,0.447
2003,0.342,0.213,0.445
2004,0.388,0.169,0.442
2005,0.393,0.189,0.417
2006,0.396,0.218,0.386
2007,0.375,0.204,0.420
2008,0.385,0.190,0.424
2009,0.327,0.198,0.475
2010,0.362,0.226,0.412
2011,0.333,0.185,0.481
2012,0.308,0.247,0.445
