year,new_fraction,chaperoned_fraction,established_fraction
1990,0.420,0.175,0.406
1991,0.352,0.210,0.438
1992,0.344,0.174,0.481
1993,0.355,0.204,0.441
1994,0.330,0.190,0.481
1995,0.306,0.199,0.496
1996,0.310,0.184,0.506
1997,0.302,0.185,0.514
1998,0.284,0.174,0.541
1999,0.295,0.173,0.533
2000,0.287,0.199,0.514
2001,0.320,0.220,0.460
2002,0.264,0.206,0.530
2003,0.253,0.183,0.565
2004,0.252,0.207,0.541
2005,0.230,0.184,0.586
2006,0.207,0.194,0.598
2007,0.214,0.216,0.570
2008,0.220,0.226,0.554
2009,0.298,0.194,0.508
2010,0.232,0.204,0.564
2011,0.218,0.224,0.558
2012,0.204,0.211,0.585
