year,new_fraction,chaperoned_fraction,established_fraction
1990,0.448,0.131,0.421
1991,0.503,0.138,0.359
1992,0.480,0.209,0.311
1993,0.429,0.135,0.436
1994,0.376,0.168,0.455
1995,0.531,0.161,0.308
1996,0.494,0.141,0.365
1997,0.509,0.182,0.309
1998,0.555,0.110,0.335
1999,0.485,0.144,0.371
2000,0.552,0.117,0.331
2001,0.583,0.121,0.296
2002,0.505,0.165,0.330
2003,0.528,0.124,0.349
2004,0.487,0.123,0.390
2005,0.448,0.184,0.368
2006,0.476,0.199,0.325
2007,0.471,0.243,0.286
2008,0.447,0.212,0.341
2009,0.455,0.182,0.364
2010,0.474,0.141,0.385
2011,0.513,0.171,0.316
2012,0.416,0.219,0.365
