year,new_fraction,chaperoned_fraction,established_fraction
1990,0.727,0.091,0.182
1991,0.720,0.107,0.173
1992,0.641,0.156,0.203
1993,0.738,0.115,0.148
1994,0.482,0.205,0.313
1995,0.495,0.198,0.307
1996,0.585,0.153,0.263
1997,0.513,0.140,0.347
1998,0.470,0.167,0.364
1999,0.418,0.177,0.404
2000,0.447,0.217,0.336
2001,0.435,0.164,0.401
2002,0.419,0.197,0.384
2003,0.360,0.191,0.449
2004,0.391,0.156,0.453
2005,0.341,0.203,0.456
2006,0.333,0.162,0.505
2007,0.307,0.159,0.534
2008,0.262,0.212,0.526
2009,0.248,0.180,0.572
2010,0.207,0.210,0.583
2011,0.226,0.178,0.596
2012,0.172,0.192,0.636
