year,new_fraction,chaperoned_fraction,established_fraction
1990,0.633,0.102,0.266
1991,0.652,0.089,0.259
1992,0.531,0.119,0.350
1993,0.549,0.121,0.329
1994,0.568,0.137,0.295
1995,0.583,0.111,0.307
1996,0.571,0.137,0.293
1997,0.462,0.118,0.421
1998,0.500,0.130,0.370
1999,0.471,0.113,0.416
2000,0.462,0.110,0.428
2001,0.475,0.109,0.415
2002,0.510,0.151,0.340
2003,0.506,0.127,0.367
2004,0.416,0.163,0.420
2005,0.390,0.171,0.439
2006,0.376,0.161,0.462
2007,0.482,0.139,0.380
2008,0.407,0.145,0.448
2009,0.405,0.132,0.463
2010,0.371,0.121,0.507
2011,0.347,0.140,0.513
2012,0.303,0.165,0.532
