year,new_fraction,chaperoned_fraction,established_fraction
1990,0.521,0.148,0.331
1991,0.467,0.175,0.358
1992,0.441,0.138,0.421
1993,0.448,0.157,0.396
1994,0.509,0.139,0.353
1995,0.520,0.134,0.346
1996,0.515,0.104,0.382
1997,0.376,0.162,0.462
1998,0.415,0.148,0.437
1999,0.419,0.121,0.460
2000,0.520,0.109,0.371
2001,0.511,0.133,0.356
2002,0.568,0.098,0.333
2003,0.454,0.151,0.395
2004,0.479,0.139,0.382
2005,0.468,0.165,0.367
2006,0.445,0.177,0.377
2007,0.393,0.154,0.453
2008,0.418,0.114,0.469
2009,0.418,0.147,0.434
2010,0.446,0.174,0.380
2011,0.376,0.171,0.452
2012,0.433,0.191,0.376
