year,new_fraction,chaperoned_fraction,established_fraction
1990,0.442,0.117,0.442
1991,0.429,0.143,0.429
1992,0.427,0.189,0.384
1993,0.411,0.152,0.437
1994,0.401,0.165,0.434
1995,0.372,0.122,0.506
1996,0.386,0.200,0.414
1997,0.353,0.149,0.498
1998,0.364,0.177,0.459
1999,0.368,0.179,0.453
2000,0.390,0.170,0.440
2001,0.357,0.175,0.468
2002,0.356,0.185,0.459
2003,0.381,0.144,0.475
2004,0.324,0.250,0.426
2005,0.433,0.205,0.362
2006,0.404,0.202,0.394
2007,0.425,0.195,0.380
2008,0.390,0.224,0.386
2009,0.423,0.194,0.383
2010,0.451,0.196,0.353
2011,0.525,0.117,0.358
2012,0.407,0.220,0.373
