year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,0.848,0.023,0.129
1994,0.588,0.074,0.338
1995,0.516,0.086,0.398
1996,0.390,0.048,0.562
1997,0.341,0.094,0.565
1998,0.295,0.047,0.659
1999,0.220,0.068,0.712
2000,0.277,0.109,0.613
2001,0.224,0.043,0.733
2002,0.296,0.104,0.600
2003,0.343,0.069,0.588
2004,0.301,0.078,0.621
2005,0.356,0.099,0.545
2006,0.255,0.108,0.637
2007,0.370,0.054,0.576
2008,0.360,0.090,0.550
2009,0.398,0.120,0.481
2010,0.356,0.067,0.578
2011,0.346,0.048,0.606
2012,0.330,0.099,0.571
