year,new_fraction,chaperoned_fraction,established_fraction
1990,0.355,0.147,0.498
1991,0.291,0.158,0.551
1992,0.441,0.081,0.477
1993,0.390,0.122,0.488
1994,0.474,0.108,0.418
1995,0.404,0.124,0.472
1996,0.365,0.137,0.498
1997,0.419,0.128,0.453
1998,0.493,0.116,0.391
1999,0.522,0.121,0.357
2000,0.346,0.164,0.491
2001,0.393,0.095,0.512
2002,0.472,0.143,0.385
2003,0.400,0.092,0.508
2004,0.350,0.178,0.471
2005,0.481,0.120,0.399
2006,0.307,0.172,0.521
2007,0.420,0.138,0.442
2008,0.383,0.166,0.451
2009,0.474,0.127,0.399
2010,0.440,0.154,0.406
2011,0.416,0.132,0.451
2012,0.440,0.126,0.433
