year,new_fraction,chaperoned_fraction,established_fraction
1990,0.582,0.065,0.353
1991,0.563,0.065,0.372
1992,0.557,0.032,0.411
1993,0.530,0.054,0.417
1994,0.495,0.059,0.446
1995,0.495,0.052,0.453
1996,0.458,0.064,0.478
1997,0.537,0.045,0.417
1998,0.493,0.050,0.458
1999,0.554,0.027,0.420
2000,0.460,0.059,0.480
2001,0.562,0.049,0.389
2002,0.495,0.094,0.411
2003,0.597,0.066,0.337
2004,0.507,0.078,0.416
2005,0.526,0.074,0.400
2006,0.626,0.053,0.322
2007,0.598,0.071,0.331
2008,0.564,0.070,0.366
2009,0.587,0.070,0.343
2010,0.523,0.091,0.386
2011,0.584,0.078,0.337
2012,0.637,0.081,0.282
