year,new_fraction,chaperoned_fraction,established_fraction
1990,0.372,0.146,0.482
1991,0.396,0.135,0.469
1992,0.397,0.126,0.477
1993,0.377,0.124,0.499
1994,0.386,0.130,0.484
1995,0.397,0.143,0.461
1996,0.362,0.148,0.489
1997,0.358,0.145,0.497
1998,0.362,0.126,0.512
1999,0.329,0.155,0.516
2000,0.332,0.141,0.526
2001,0.324,0.157,0.519
2002,0.320,0.157,0.523
2003,0.321,0.156,0.523
2004,0.343,0.175,0.481
2005,0.322,0.174,0.504
2006,0.315,0.184,0.501
2007,0.323,0.186,0.490
2008,0.300,0.168,0.531
2009,0.310,0.182,0.508
2010,0.321,0.178,0.501
2011,0.283,0.168,0.549
2012,0.307,0.178,0.515
