year,new_fraction,chaperoned_fraction,established_fraction
1990,0.211,0.182,0.607
1991,0.229,0.196,0.576
1992,0.221,0.177,0.602
1993,0.218,0.178,0.604
1994,0.218,0.171,0.611
1995,0.211,0.179,0.610
1996,0.207,0.187,0.606
1997,0.196,0.174,0.631
1998,0.194,0.187,0.619
1999,0.171,0.176,0.652
2000,0.164,0.177,0.659
2001,0.168,0.184,0.648
2002,0.160,0.180,0.659
2003,0.141,0.177,0.682
2004,0.150,0.180,0.670
2005,0.148,0.180,0.671
2006,0.143,0.167,0.691
2007,0.132,0.177,0.691
2008,0.117,0.161,0.722
2009,0.101,0.148,0.751
2010,0.082,0.135,0.782
2011,0.090,0.149,0.761
2012,0.091,0.147,0.762
