year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,0.764,0.075,0.160
1994,0.576,0.079,0.345
1995,0.491,0.112,0.397
1996,0.448,0.129,0.422
1997,0.387,0.168,0.445
1998,0.336,0.091,0.573
1999,0.297,0.119,0.584
2000,0.365,0.146,0.490
2001,0.348,0.116,0.536
2002,0.183,0.125,0.692
2003,0.295,0.114,0.590
2004,0.368,0.116,0.516
2005,0.289,0.144,0.567
2006,0.289,0.165,0.546
2007,0.276,0.115,0.609
2008,0.307,0.136,0.557
2009,0.279,0.151,0.570
2010,0.226,0.143,0.631
2011,0.284,0.099,0.617
2012,0.254,0.119,0.627
