year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,0.863,0.093,0.043
1993,0.674,0.166,0.161
1994,0.544,0.160,0.296
1995,0.608,0.133,0.260
1996,0.577,0.137,0.286
1997,0.451,0.154,0.394
1998,0.509,0.164,0.327
1999,0.446,0.182,0.372
2000,0.419,0.192,0.390
2001,0.452,0.155,0.394
2002,0.532,0.165,0.304
2003,0.466,0.108,0.426
2004,0.444,0.193,0.363
2005,0.482,0.209,0.309
2006,0.477,0.168,0.356
2007,0.374,0.200,0.426
2008,0.415,0.185,0.400
2009,0.388,0.223,0.388
2010,0.420,0.205,0.375
2011,0.367,0.192,0.442
2012,0.480,0.211,0.309
