year,new_fraction,chaperoned_fraction,established_fraction
1990,0.466,0.117,0.417
1991,0.323,0.143,0.535
1992,0.437,0.131,0.432
1993,0.526,0.064,0.410
1994,0.462,0.165,0.373
1995,0.542,0.065,0.393
1996,0.508,0.105,0.387
1997,0.455,0.091,0.455
1998,0.519,0.111,0.370
1999,0.573,0.133,0.293
2000,0.494,0.126,0.379
2001,0.570,0.049,0.380
2002,0.572,0.110,0.317
2003,0.547,0.094,0.360
2004,0.591,0.102,0.307
2005,0.536,0.131,0.333
2006,0.522,0.078,0.400
2007,0.543,0.129,0.328
2008,0.576,0.118,0.306
2009,0.581,0.110,0.310
2010,0.625,0.094,0.281
2011,0.484,0.126,0.390
2012,0.570,0.124,0.306
