year,new_fraction,chaperoned_fraction,established_fraction
1990,0.206,0.142,0.652
1991,0.192,0.130,0.678
1992,0.197,0.129,0.674
1993,0.209,0.115,0.677
1994,0.172,0.118,0.710
1995,0.176,0.134,0.689
1996,0.168,0.135,0.697
1997,0.178,0.146,0.677
1998,0.182,0.141,0.677
1999,0.186,0.129,0.685
2000,0.158,0.152,0.690
2001,0.163,0.153,0.683
2002,0.179,0.135,0.686
2003,0.174,0.147,0.679
2004,0.161,0.155,0.684
2005,0.157,0.145,0.698
2006,0.186,0.143,0.672
2007,0.168,0.153,0.679
2008,0.172,0.167,0.662
2009,0.164,0.165,0.670
2010,0.191,0.166,0.644
2011,0.174,0.172,0.653
2012,0.203,0.170,0.627
