year,new_fraction,chaperoned_fraction,established_fraction
1990,0.433,0.043,0.524
1991,0.408,0.070,0.522
1992,0.456,0.070,0.474
1993,0.379,0.042,0.579
1994,0.459,0.068,0.473
1995,0.452,0.043,0.505
1996,0.402,0.056,0.542
1997,0.430,0.085,0.485
1998,0.462,0.065,0.473
1999,0.436,0.042,0.523
2000,0.466,0.067,0.466
2001,0.410,0.088,0.502
2002,0.350,0.057,0.592
2003,0.448,0.063,0.490
2004,0.409,0.096,0.495
2005,0.436,0.073,0.491
2006,0.412,0.087,0.500
2007,0.444,0.059,0.498
2008,0.416,0.068,0.516
2009,0.425,0.094,0.481
2010,0.426,0.061,0.513
2011,0.437,0.094,0.469
2012,0.416,0.059,0.525
