year,new_fraction,chaperoned_fraction,established_fraction
1990,0.692,0.051,0.256
1991,0.664,0.103,0.233
1992,0.596,0.108,0.295
1993,0.566,0.124,0.310
1994,0.542,0.103,0.355
1995,0.611,0.121,0.268
1996,0.597,0.079,0.324
1997,0.470,0.159,0.372
1998,0.533,0.139,0.328
1999,0.700,0.125,0.175
2000,0.607,0.084,0.309
2001,0.578,0.115,0.307
2002,0.556,0.080,0.364
2003,0.552,0.133,0.315
2004,0.564,0.128,0.309
2005,0.526,0.138,0.336
2006,0.446,0.115,0.439
2007,0.564,0.115,0.322
2008,0.546,0.122,0.332
2009,0.539,0.103,0.358
2010,0.582,0.086,0.332
2011,0.518,0.144,0.338
2012,0.524,0.122,0.354
