year,new_fraction,chaperoned_fraction,established_fraction
1990,0.433,0.067,0.500
1991,0.442,0.021,0.537
1992,0.495,0.082,0.423
1993,0.473,0.075,0.452
1994,0.464,0.052,0.485
1995,0.495,0.052,0.454
1996,0.388,0.051,0.561
1997,0.444,0.081,0.475
1998,0.442,0.106,0.452
1999,0.526,0.088,0.387
2000,0.366,0.097,0.537
2001,0.345,0.121,0.534
2002,0.431,0.092,0.477
2003,0.444,0.105,0.451
2004,0.466,0.073,0.461
2005,0.405,0.081,0.514
2006,0.363,0.073,0.565
2007,0.496,0.069,0.435
2008,0.472,0.110,0.417
2009,0.428,0.117,0.455
2010,0.516,0.070,0.414
2011,0.529,0.095,0.376
2012,0.407,0.078,0.515
