year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.867,0.033,0.100
1996,0.757,0.071,0.171
1997,0.651,0.096,0.253
1998,0.469,0.086,0.444
1999,0.602,0.045,0.352
2000,0.520,0.160,0.320
2001,0.525,0.081,0.394
2002,0.629,0.114,0.257
2003,0.539,0.122,0.339
2004,0.509,0.091,0.400
2005,0.600,0.100,0.300
2006,0.532,0.117,0.351
2007,0.624,0.083,0.293
2008,0.527,0.110,0.363
2009,0.646,0.127,0.228
2010,0.622,0.063,0.315
2011,0.535,0.108,0.357
2012,0.538,0.133,0.328
