year,new_fraction,chaperoned_fraction,established_fraction
1990,0.410,0.122,0.468
1991,0.329,0.077,0.594
1992,0.364,0.148,0.488
1993,0.301,0.090,0.609
1994,0.276,0.171,0.553
1995,0.354,0.110,0.535
1996,0.309,0.132,0.559
1997,0.306,0.076,0.618
1998,0.389,0.096,0.515
1999,0.235,0.105,0.660
2000,0.287,0.070,0.643
2001,0.291,0.085,0.624
2002,0.304,0.096,0.600
2003,0.313,0.087,0.600
2004,0.366,0.179,0.455
2005,0.365,0.067,0.567
2006,0.345,0.052,0.603
2007,0.355,0.127,0.518
2008,0.299,0.063,0.638
2009,0.320,0.115,0.566
2010,0.343,0.102,0.555
2011,0.419,0.093,0.488
2012,0.408,0.051,0.541
