year,new_fraction,chaperoned_fraction,established_fraction
1990,0.521,0.137,0.342
1991,0.461,0.067,0.473
1992,0.459,0.060,0.481
1993,0.417,0.094,0.489
1994,0.396,0.125,0.479
1995,0.419,0.115,0.466
1996,0.398,0.054,0.548
1997,0.369,0.117,0.514
1998,0.323,0.156,0.522
1999,0.450,0.074,0.477
2000,0.403,0.104,0.494
2001,0.431,0.106,0.463
2002,0.418,0.129,0.453
2003,0.444,0.120,0.435
2004,0.442,0.055,0.503
2005,0.395,0.102,0.503
2006,0.478,0.094,0.428
2007,0.455,0.079,0.467
2008,0.528,0.101,0.371
2009,0.490,0.120,0.390
2010,0.450,0.099,0.450
2011,0.438,0.107,0.455
2012,0.440,0.077,0.484
