year,new_fraction,chaperoned_fraction,established_fraction
1990,0.656,0.086,0.258
1991,0.660,0.069,0.270
1992,0.620,0.068,0.312
1993,0.522,0.094,0.384
1994,0.525,0.138,0.338
1995,0.516,0.134,0.350
1996,0.485,0.084,0.431
1997,0.603,0.085,0.311
1998,0.498,0.088,0.414
1999,0.458,0.119,0.424
2000,0.529,0.087,0.384
2001,0.654,0.071,0.275
2002,0.624,0.081,0.295
2003,0.519,0.071,0.409
2004,0.489,0.090,0.421
2005,0.603,0.120,0.277
2006,0.510,0.115,0.375
2007,0.509,0.141,0.350
2008,0.470,0.071,0.459
2009,0.423,0.121,0.456
2010,0.431,0.086,0.483
2011,0.438,0.142,0.419
2012,0.385,0.090,0.525
