year,new_fraction,chaperoned_fraction,established_fraction
1990,0.896,0.021,0.083
1991,0.771,0.083,0.146
1992,0.788,0.061,0.152
1993,0.721,0.089,0.190
1994,0.633,0.089,0.278
1995,0.660,0.068,0.272
1996,0.617,0.087,0.296
1997,0.677,0.068,0.255
1998,0.618,0.091,0.291
1999,0.562,0.134,0.304
2000,0.497,0.137,0.365
2001,0.591,0.117,0.292
2002,0.529,0.164,0.308
2003,0.513,0.154,0.332
2004,0.514,0.135,0.351
2005,0.457,0.179,0.365
2006,0.577,0.164,0.259
2007,0.475,0.177,0.349
2008,0.531,0.150,0.320
2009,0.510,0.147,0.342
2010,0.429,0.164,0.407
2011,0.446,0.180,0.374
2012,0.480,0.184,0.336
