year,new_fraction,chaperoned_fraction,established_fraction
1990,0.544,0.067,0.389
1991,0.465,0.050,0.485
1992,0.450,0.100,0.450
1993,0.469,0.136,0.394
1994,0.446,0.133,0.421
1995,0.514,0.107,0.379
1996,0.504,0.094,0.402
1997,0.421,0.114,0.465
1998,0.522,0.091,0.387
1999,0.450,0.104,0.446
2000,0.372,0.110,0.518
2001,0.456,0.088,0.456
2002,0.426,0.113,0.461
2003,0.428,0.134,0.438
2004,0.423,0.118,0.459
2005,0.387,0.117,0.496
2006,0.398,0.131,0.471
2007,0.400,0.112,0.488
2008,0.392,0.123,0.485
2009,0.363,0.090,0.546
2010,0.365,0.131,0.503
2011,0.353,0.120,0.527
2012,0.336,0.113,0.550
