year,new_fraction,chaperoned_fraction,established_fraction
1990,0.407,0.042,0.551
1991,0.441,0.045,0.514
1992,0.455,0.055,0.490
1993,0.461,0.042,0.497
1994,0.441,0.053,0.506
1995,0.411,0.072,0.517
1996,0.396,0.049,0.555
1997,0.467,0.046,0.487
1998,0.407,0.043,0.550
1999,0.447,0.060,0.493
2000,0.341,0.047,0.612
2001,0.421,0.050,0.529
2002,0.375,0.066,0.559
2003,0.381,0.076,0.543
2004,0.307,0.045,0.648
2005,0.347,0.068,0.585
2006,0.422,0.100,0.478
2007,0.410,0.108,0.482
2008,0.442,0.104,0.454
2009,0.413,0.112,0.475
2010,0.382,0.077,0.542
2011,0.403,0.083,0.514
2012,0.348,0.126,0.525
