year,new_fraction,chaperoned_fraction,established_fraction
1990,0.388,0.122,0.490
1991,0.359,0.135,0.506
1992,0.327,0.148,0.525
1993,0.412,0.124,0.463
1994,0.383,0.121,0.496
1995,0.391,0.121,0.488
1996,0.384,0.123,0.492
1997,0.353,0.155,0.492
1998,0.395,0.136,0.469
1999,0.342,0.144,0.514
2000,0.333,0.128,0.538
2001,0.342,0.134,0.524
2002,0.327,0.090,0.583
2003,0.315,0.131,0.554
2004,0.310,0.136,0.554
2005,0.303,0.159,0.538
2006,0.317,0.137,0.546
2007,0.320,0.114,0.566
2008,0.357,0.121,0.522
2009,0.276,0.185,0.539
2010,0.292,0.140,0.568
2011,0.257,0.128,0.615
2012,0.274,0.137,0.590
