year,new_fraction,chaperoned_fraction,established_fraction
1990,0.294,0.163,0.543
1991,0.282,0.159,0.559
1992,0.274,0.169,0.557
1993,0.267,0.168,0.565
1994,0.255,0.168,0.577
1995,0.246,0.201,0.553
1996,0.236,0.182,0.582
1997,0.215,0.189,0.596
1998,0.230,0.180,0.590
1999,0.219,0.171,0.610
2000,0.191,0.175,0.634
2001,0.182,0.191,0.627
2002,0.171,0.176,0.653
2003,0.168,0.180,0.652
2004,0.173,0.173,0.654
2005,0.167,0.181,0.651
2006,0.178,0.172,0.650
2007,0.167,0.193,0.639
2008,0.166,0.183,0.651
2009,0.147,0.173,0.680
2010,0.131,0.160,0.709
2011,0.130,0.160,0.710
2012,0.131,0.152,0.717
