year,new_fraction,chaperoned_fraction,established_fraction
1990,0.304,0.121,0.575
1991,0.388,0.117,0.495
1992,0.361,0.086,0.553
1993,0.351,0.121,0.528
1994,0.347,0.114,0.540
1995,0.363,0.094,0.543
1996,0.332,0.147,0.521
1997,0.346,0.157,0.497
1998,0.350,0.109,0.541
1999,0.304,0.126,0.570
2000,0.357,0.111,0.531
2001,0.306,0.139,0.556
2002,0.291,0.143,0.565
2003,0.316,0.122,0.562
2004,0.346,0.171,0.482
2005,0.386,0.146,0.468
2006,0.360,0.141,0.499
2007,0.322,0.170,0.507
2008,0.330,0.152,0.518
2009,0.353,0.165,0.482
2010,0.332,0.157,0.512
2011,0.344,0.182,0.474
2012,0.289,0.160,0.552
