year,new_fraction,chaperoned_fraction,established_fraction
1990,0.328,0.154,0.518
1991,0.300,0.158,0.542
1992,0.312,0.170,0.518
1993,0.307,0.169,0.524
1994,0.225,0.144,0.631
1995,0.244,0.167,0.589
1996,0.263,0.153,0.584
1997,0.226,0.166,0.608
1998,0.219,0.139,0.642
1999,0.254,0.143,0.602
2000,0.198,0.140,0.662
2001,0.210,0.168,0.622
2002,0.195,0.168,0.637
2003,0.193,0.163,0.643
2004,0.225,0.174,0.601
2005,0.213,0.179,0.608
2006,0.239,0.179,0.583
2007,0.147,0.168,0.685
2008,0.218,0.161,0.621
2009,0.191,0.155,0.655
2010,0.226,0.162,0.612
2011,0.179,0.173,0.649
2012,0.224,0.142,0.634
