year,new_fraction,chaperoned_fraction,established_fraction
1990,0.408,0.197,0.395
1991,0.429,0.125,0.446
1992,0.465,0.128,0.407
1993,0.446,0.127,0.426
1994,0.538,0.159,0.302
1995,0.339,0.157,0.504
1996,0.398,0.199,0.403
1997,0.398,0.168,0.434
1998,0.255,0.181,0.563
1999,0.238,0.199,0.563
2000,0.367,0.163,0.469
2001,0.295,0.198,0.507
2002,0.239,0.190,0.570
2003,0.398,0.146,0.456
2004,0.288,0.109,0.603
2005,0.223,0.196,0.581
2006,0.388,0.136,0.476
2007,0.261,0.185,0.555
2008,0.258,0.136,0.606
2009,0.337,0.184,0.480
2010,0.243,0.157,0.600
2011,0.259,0.152,0.589
2012,0.236,0.218,0.545
