year,new_fraction,chaperoned_fraction,established_fraction
1990,0.424,0.106,0.471
1991,0.362,0.113,0.525
1992,0.259,0.132,0.610
1993,0.393,0.157,0.450
1994,0.326,0.114,0.561
1995,0.356,0.122,0.522
1996,0.459,0.134,0.408
1997,0.450,0.129,0.421
1998,0.231,0.128,0.641
1999,0.337,0.206,0.457
2000,0.337,0.146,0.516
2001,0.317,0.135,0.548
2002,0.252,0.126,0.621
2003,0.329,0.150,0.521
2004,0.238,0.123,0.639
2005,0.308,0.118,0.574
2006,0.413,0.162,0.425
2007,0.205,0.115,0.680
2008,0.319,0.185,0.495
2009,0.263,0.237,0.500
2010,0.305,0.160,0.535
2011,0.232,0.104,0.665
2012,0.307,0.243,0.450
