year,new_fraction,chaperoned_fraction,established_fraction
1990,0.278,0.170,0.552
1991,0.300,0.146,0.554
1992,0.233,0.151,0.616
1993,0.245,0.169,0.586
1994,0.288,0.146,0.565
1995,0.211,0.134,0.655
1996,0.216,0.146,0.638
1997,0.209,0.153,0.638
1998,0.185,0.142,0.674
1999,0.236,0.148,0.616
2000,0.238,0.170,0.592
2001,0.222,0.167,0.611
2002,0.213,0.165,0.622
2003,0.255,0.157,0.588
2004,0.196,0.149,0.655
2005,0.194,0.147,0.660
2006,0.232,0.194,0.574
2007,0.163,0.159,0.678
2008,0.227,0.181,0.592
2009,0.269,0.154,0.577
2010,0.233,0.198,0.569
2011,0.260,0.201,0.538
2012,0.263,0.186,0.551
