year,new_fraction,chaperoned_fraction,established_fraction
1990,0.640,0.091,0.269
1991,0.509,0.153,0.338
1992,0.539,0.078,0.382
1993,0.435,0.106,0.459
1994,0.500,0.146,0.354
1995,0.438,0.108,0.453
1996,0.436,0.142,0.422
1997,0.426,0.127,0.447
1998,0.396,0.137,0.467
1999,0.400,0.125,0.475
2000,0.357,0.143,0.500
2001,0.391,0.124,0.485
2002,0.456,0.146,0.398
2003,0.467,0.129,0.404
2004,0.462,0.121,0.417
2005,0.406,0.127,0.467
2006,0.464,0.143,0.393
2007,0.384,0.144,0.472
2008,0.427,0.142,0.431
2009,0.475,0.146,0.379
2010,0.439,0.172,0.389
2011,0.400,0.164,0.436
2012,0.488,0.159,0.353
