year,new_fraction,chaperoned_fraction,established_fraction
1990,0.406,0.099,0.495
1991,0.444,0.137,0.419
1992,0.400,0.114,0.486
1993,0.445,0.110,0.445
1994,0.320,0.169,0.512
1995,0.361,0.170,0.469
1996,0.376,0.135,0.488
1997,0.448,0.113,0.438
1998,0.471,0.197,0.332
1999,0.441,0.122,0.437
2000,0.388,0.164,0.448
2001,0.449,0.171,0.380
2002,0.410,0.187,0.403
2003,0.567,0.148,0.285
2004,0.462,0.206,0.332
2005,0.314,0.191,0.494
2006,0.352,0.159,0.489
2007,0.346,0.214,0.440
2008,0.280,0.221,0.499
2009,0.297,0.222,0.481
2010,0.258,0.186,0.556
2011,0.271,0.196,0.533
2012,0.335,0.171,0.494
