year,new_fraction,chaperoned_fraction,established_fraction
1990,0.576,0.119,0.305
1991,0.491,0.130,0.379
1992,0.420,0.157,0.422
1993,0.428,0.140,0.432
1994,0.365,0.160,0.474
1995,0.355,0.161,0.483
1996,0.347,0.171,0.482
1997,0.321,0.175,0.504
1998,0.376,0.167,0.457
1999,0.331,0.188,0.481
2000,0.323,0.166,0.511
2001,0.306,0.176,0.518
2002,0.351,0.162,0.487
2003,0.328,0.178,0.494
2004,0.322,0.195,0.483
2005,0.322,0.188,0.490
2006,0.312,0.193,0.495
2007,0.277,0.218,0.505
2008,0.269,0.198,0.534
2009,0.255,0.205,0.540
2010,0.243,0.179,0.579
2011,0.199,0.178,0.624
2012,0.205,0.186,0.609
