year,new_fraction,chaperoned_fraction,established_fraction
1990,0.434,0.097,0.469
1991,0.286,0.112,0.602
1992,0.331,0.119,0.551
1993,0.461,0.139,0.400
1994,0.460,0.124,0.416
1995,0.385,0.141,0.474
1996,0.423,0.121,0.456
1997,0.301,0.205,0.494
1998,0.356,0.189,0.455
1999,0.474,0.111,0.415
2000,0.258,0.220,0.522
2001,0.317,0.154,0.529
2002,0.346,0.156,0.498
2003,0.366,0.156,0.478
2004,0.395,0.166,0.439
2005,0.329,0.132,0.539
2006,0.316,0.156,0.528
2007,0.329,0.130,0.541
2008,0.287,0.188,0.525
2009,0.309,0.127,0.564
2010,0.268,0.142,0.589
2011,0.357,0.123,0.520
2012,0.329,0.157,0.514
